IP,TTL,FREQ
227.186.182.220,123,1
3.46.113.19,245,1
241.8.184.232,57,8
236.204.104.15,54,4
245.252.22.242,120,6
162.157.15.229,116,1
115.40.21.17,120,6
238.181.43.241,247,8
227.186.178.50,123,16
107.215.53.173,120,11
3.223.151.245,60,448
245.96.54.68,247,2
241.229.143.120,246,1
107.218.109.184,119,18
0.84.16.128,58,74
107.136.35.201,23,12
227.9.219.205,247,4
162.158.58.1,118,2
238.181.146.64,120,1
224.86.18.210,114,23
180.160.236.186,23,1
162.134.164.186,118,23
238.138.97.136,245,1
140.140.23.218,119,11
249.32.41.183,121,8
238.76.253.125,118,6
162.141.113.249,118,2
0.61.222.248,59,250
227.193.150.117,120,5
71.171.204.226,59,15
243.62.251.6,245,1
71.11.21.120,120,9
3.235.144.171,122,35
140.115.54.6,54,2
1.202.129.148,57,3
115.47.24.232,122,104
227.186.182.212,123,1
227.235.46.187,57,1
162.141.193.254,118,2
245.252.53.205,120,24
240.169.237.246,139,1
248.74.166.24,249,612
140.132.120.11,247,3
140.137.75.182,120,14
140.139.156.76,118,8
227.234.94.5,58,9
100.253.79.116,119,3
4.50.158.31,118,5
241.46.227.188,57,3
227.186.182.215,123,1
3.231.252.102,122,1
162.139.218.190,55,1
100.189.252.161,119,3
100.189.252.161,118,4
245.252.21.205,120,7
245.239.204.132,119,88
237.0.183.58,50,6
239.184.18.107,114,3
115.33.209.244,122,3
115.51.167.78,122,3
71.168.8.233,121,3
238.90.150.253,115,1
115.54.44.208,122,1
115.33.182.38,122,6
140.157.115.117,54,1
224.86.9.76,114,6
153.125.218.45,56,2
115.55.196.121,58,9
115.43.216.94,122,394
245.252.29.252,119,151
252.44.4.87,119,4
252.44.181.245,57,1
2.58.142.9,119,48
107.206.37.115,118,7
162.131.159.242,58,2
128.4.39.250,248,2
245.252.22.240,120,12
224.83.81.251,114,6
245.252.117.30,119,32
245.239.194.206,119,79
241.245.107.150,59,2
3.63.187.124,249,1
107.218.73.179,118,1
107.218.73.179,119,2
140.138.36.44,121,1
162.158.122.198,118,5
241.201.123.14,60,100
227.64.160.158,124,2
0.249.243.243,120,14
162.139.201.126,55,1
241.80.222.132,55,13
245.96.155.118,246,3
245.253.39.115,119,5
224.87.72.73,116,83
107.236.48.216,245,1
115.51.167.69,122,3
107.212.99.19,119,32
3.176.114.123,58,31
153.125.239.197,121,5
162.157.58.40,117,22
107.210.225.47,119,34
252.60.190.52,246,1
244.131.1.131,116,1
227.173.63.249,57,11
245.100.101.109,245,3
115.51.205.20,122,387
0.180.123.167,121,214
3.46.26.44,118,1
227.104.100.24,248,2
238.76.221.63,118,1
224.80.156.203,50,41
140.134.218.26,118,1
245.253.112.141,118,19
140.128.159.158,249,4
162.140.63.93,118,89
224.86.108.125,50,42
238.56.43.203,117,83
109.106.63.254,248,2
236.141.22.186,244,1
224.86.78.52,115,1
140.140.99.206,120,19
245.253.24.6,60,11
245.253.24.6,45,1
115.32.31.160,120,4
140.139.182.55,119,2
69.224.251.3,114,34
2.45.231.168,119,1
162.139.201.253,119,1
245.122.132.249,245,3
228.85.226.82,113,5
3.141.17.169,53,2
3.141.17.169,54,2
115.43.165.4,122,3
236.68.33.41,119,12
245.252.163.197,119,11
245.38.189.58,244,1
140.132.226.81,120,7
3.231.251.64,122,7
115.44.109.115,120,4
115.42.41.38,122,7
237.13.194.82,52,5
140.128.244.199,117,7
140.139.234.50,119,4
245.253.124.202,119,66
21.8.206.35,23,1
1.78.202.121,57,186
107.212.105.32,119,30
225.213.184.26,115,6
227.22.82.116,247,1
227.116.213.181,50,19
245.252.224.233,118,22
241.253.94.6,246,1
245.98.4.16,115,2
143.182.237.219,57,4
115.45.99.13,122,47
3.45.204.128,247,1
241.8.93.91,121,351
239.187.17.117,253,4
245.51.208.6,57,1
115.51.167.114,122,3
140.137.73.21,120,4
115.51.167.113,122,3
241.253.162.186,60,1
238.65.102.190,120,1
244.142.29.247,115,27
162.139.178.166,55,3
3.231.231.216,122,27
245.239.195.211,119,322
162.138.72.6,117,2
244.181.89.103,244,1
140.130.28.135,119,17
244.53.165.243,115,2
2.168.112.224,116,15
115.51.167.126,122,3
115.45.45.5,123,9
227.186.177.253,122,3
140.129.236.251,54,23
237.13.205.140,52,4
107.236.96.235,118,1
107.236.96.235,119,66
3.176.7.242,121,323
3.176.198.161,56,1
245.40.52.19,58,16
140.123.23.49,119,3
140.121.23.231,118,9
245.253.118.81,119,11
140.121.113.146,118,9
71.4.162.159,56,12
227.112.32.4,247,7
241.110.96.183,120,317
100.253.149.107,118,18
140.123.17.122,119,5
107.210.234.19,245,1
244.160.195.243,51,8
107.214.139.146,119,338
69.224.168.52,115,172
115.33.112.44,122,1
245.253.75.166,122,128
245.253.75.166,123,55
201.76.238.227,23,1
238.146.180.41,25,2
115.46.1.83,123,276
245.252.33.22,249,1
107.236.4.14,117,2
107.236.4.14,118,6
227.112.32.6,247,2
2.58.182.79,119,339
107.211.31.114,120,4
107.254.55.63,119,1
224.80.171.241,114,6
115.46.138.247,122,5
238.250.177.174,121,15
227.112.10.44,248,57
227.112.10.44,48,3
115.45.96.187,122,5
227.33.190.116,249,3
100.139.4.219,56,2
140.129.139.163,118,140
140.143.95.117,120,5
228.86.136.164,115,6
0.47.216.253,247,2
3.223.174.7,58,1
143.173.91.17,121,1
58.67.197.210,23,1
241.8.16.9,121,20
115.47.57.152,123,6
245.253.137.186,54,18
249.137.194.16,121,22
162.133.134.67,118,19
3.176.58.191,58,4
238.11.79.85,115,5
244.154.237.254,58,1
245.252.192.210,22,56
140.139.183.105,119,10
0.203.41.51,55,158
248.54.51.9,246,1
3.189.208.255,119,2
236.207.182.1,55,8
100.170.240.195,118,1
245.56.6.252,53,1
140.113.227.188,120,7
241.221.157.198,58,1
0.61.206.167,122,11
0.17.44.29,117,3
252.44.242.248,56,1
245.56.233.12,117,2
107.218.85.10,246,1
107.218.85.10,247,231
107.235.88.13,118,1
107.235.88.13,119,10
224.80.62.148,50,19
71.223.129.168,117,4
131.68.15.165,115,20
131.68.15.165,101,7
107.236.57.70,118,1
1.202.168.68,56,16
1.202.168.68,247,1
240.163.172.84,120,8
115.34.182.116,122,8
115.54.188.228,122,1
162.132.160.152,54,16
71.220.31.218,117,13
236.67.216.79,118,1
227.186.182.239,123,1
244.152.154.118,245,2
227.29.33.179,58,4
107.233.23.137,119,1
107.233.23.137,120,19
241.80.222.142,56,1
241.80.222.142,119,1
252.86.208.6,244,2
1.57.238.184,58,4
245.49.183.246,53,2
177.228.55.193,23,1
115.43.194.123,122,4
245.239.228.186,117,14
236.166.52.233,114,1
236.166.52.233,115,14
115.46.138.224,122,1
71.166.170.41,56,1
140.157.71.6,123,1
238.181.163.209,119,1
245.139.153.254,242,3
245.38.160.5,244,1
1.57.238.183,58,1
238.93.40.13,117,11
238.93.40.13,21,1
100.175.78.100,119,1
245.252.128.157,119,6
0.180.169.255,121,6
245.253.160.139,118,161
115.46.139.49,122,6
140.143.216.11,118,2
115.33.202.214,122,33
245.113.240.100,246,1
245.252.194.219,118,38
245.239.198.198,119,8
140.140.9.75,119,10
140.129.64.168,117,7
227.175.225.84,244,6
3.223.130.152,60,19
140.157.223.70,122,113
0.15.139.222,120,1
140.118.61.30,120,10
227.186.182.232,123,1
252.44.114.89,52,3
234.180.180.226,112,502
140.132.115.0,56,15
227.222.152.12,56,1
245.49.79.6,117,1
242.127.178.250,119,1
107.212.142.167,119,24
162.135.109.138,119,7
227.186.182.230,123,1
227.95.33.234,119,28
140.157.193.25,123,22
245.252.33.37,249,1
126.42.249.187,23,1
140.112.115.161,119,12
107.67.84.14,249,4
227.198.144.208,116,4
238.243.47.97,120,6
140.138.25.101,121,12
227.186.182.231,123,1
238.8.69.200,54,2
245.38.183.33,242,2
225.38.45.44,113,7
245.252.112.83,119,9
245.51.146.115,248,3
241.253.143.187,125,1
3.176.130.89,121,15
243.242.239.254,247,1
115.55.173.125,122,6
4.114.185.31,117,6
137.142.249.134,58,6
140.112.252.111,249,2
69.24.99.166,119,15
227.186.182.228,123,1
227.33.140.1,120,13
240.60.177.27,56,1
252.10.123.164,243,1
2.168.187.161,117,8
245.244.33.78,118,4
140.132.199.65,121,5
9.75.165.81,23,1
236.172.53.226,51,154
236.172.53.226,242,2
143.47.157.24,120,40
107.214.200.80,120,3
3.176.8.3,121,8
162.142.201.187,117,9
245.252.163.206,119,166
3.189.157.110,117,25
227.186.182.226,123,1
245.239.227.9,120,6
2.159.203.16,118,2
2.159.203.16,117,1
107.215.247.223,120,1
238.207.224.100,119,33
107.13.60.35,118,4
115.51.173.7,122,3
238.2.84.240,114,16
244.181.83.112,244,1
115.47.62.143,58,1
140.139.46.60,119,2
115.40.148.174,121,3
143.173.33.255,121,6
238.139.113.4,54,1
245.56.37.170,120,49
238.2.102.184,59,3
140.138.55.4,121,9
238.180.208.2,55,7
245.253.38.8,119,17
140.163.245.251,119,1
238.203.177.184,121,5
55.58.121.189,23,1
227.5.189.22,121,14
227.186.182.243,123,1
236.204.98.93,117,1
107.236.57.143,118,1
107.236.57.143,119,25
245.253.60.77,119,21
140.113.219.46,120,4
140.115.60.93,118,12
236.33.139.247,115,3
252.44.229.98,119,3
135.203.170.18,120,51
238.17.82.217,120,5
115.49.35.6,122,55
0.3.5.100,252,1
245.252.157.4,119,11
107.213.238.93,118,19
240.169.82.65,246,1
115.41.56.22,123,23
0.180.213.34,58,12
239.252.101.133,121,1
245.239.242.92,119,93
236.108.128.42,113,11
107.206.46.189,120,6
140.140.179.178,56,11
245.252.191.168,118,60
227.160.30.25,118,25
245.69.42.11,53,6
238.250.145.191,120,2
140.140.150.143,120,5
140.134.149.164,117,2
140.132.151.61,120,15
115.46.138.223,122,1
107.255.216.238,119,11
241.240.203.251,120,3
224.220.57.70,244,1
140.139.234.163,55,1
107.254.55.12,118,401
107.215.147.50,119,25
249.137.61.131,60,6
3.223.131.245,60,11
3.223.131.245,251,1
162.139.166.4,54,1
249.182.14.254,113,356
0.61.200.183,59,2
236.141.136.76,49,1
237.108.171.77,25,7
140.123.36.97,119,1
252.44.4.93,119,4
245.255.87.252,56,1
238.8.128.38,116,23
128.115.68.236,23,1
100.175.77.191,119,11
227.186.182.245,123,1
115.52.49.159,122,9
252.44.66.5,49,4
245.239.245.157,119,3
227.186.182.246,123,1
1.88.50.35,61,1
1.202.157.244,56,1
107.213.153.92,118,3
107.213.153.92,119,12
140.139.33.200,119,1
238.2.102.109,59,3
227.186.182.247,123,1
107.214.220.217,119,13
245.113.240.101,119,11
115.51.167.129,58,6
236.108.107.249,113,5
245.253.149.87,118,12
140.136.241.66,119,1
107.237.16.68,118,1
227.186.182.255,123,1
140.136.240.249,119,10
245.253.82.26,122,324
71.216.239.134,53,1
115.50.215.134,58,14
115.51.167.207,122,9
107.43.201.223,118,8
115.49.26.19,122,1
135.203.151.228,248,9
244.169.225.191,52,13
241.46.130.244,55,6
241.245.73.135,123,2
248.250.109.115,120,531
245.56.3.9,53,4
224.84.180.125,242,13
140.121.102.133,118,27
227.65.129.251,117,6
162.159.163.107,247,1
140.136.49.114,249,3
107.8.159.7,247,8
245.252.141.161,55,1
227.186.182.252,123,1
107.43.200.182,53,9
245.252.198.243,118,7
236.193.31.255,47,1
115.48.49.120,122,1
224.86.147.122,50,1
143.165.36.139,54,7
140.139.150.130,118,4
238.148.156.103,122,11
227.186.182.251,123,1
2.159.227.222,118,88
140.138.19.35,120,14
140.132.50.73,56,95
252.180.41.203,50,7
225.211.27.27,113,9
225.211.27.27,18,1
227.212.41.14,121,19
107.35.157.252,57,18
241.222.225.248,121,6
243.243.237.249,120,1
245.253.175.224,122,9
245.253.175.224,123,25
100.253.153.102,118,1
107.255.216.239,119,10
227.186.182.249,251,2
238.180.246.254,119,1
140.140.84.56,120,108
140.153.40.10,244,1
245.239.229.239,117,4
227.186.183.170,60,1
148.228.135.33,23,1
238.11.122.17,117,3
115.254.226.132,122,28
115.13.176.18,120,3
140.138.27.85,121,27
227.29.98.159,121,12
238.139.207.168,115,13
238.139.207.168,51,91
245.252.129.105,118,34
107.211.84.10,53,5
162.132.60.10,118,4
227.186.182.77,123,1
143.182.148.7,121,38
115.32.218.202,122,5
224.213.5.159,117,5
115.13.166.138,120,6
227.186.182.78,123,1
239.150.244.51,54,4
238.148.141.252,122,8
4.114.160.42,118,14
115.54.167.231,58,15
236.204.105.247,118,9
163.174.5.67,23,1
239.178.48.45,120,15
227.186.182.79,123,1
1.238.142.152,120,1
239.185.104.172,122,17
115.43.85.39,122,1
140.141.49.94,56,3
69.73.147.216,114,4
140.143.152.173,55,9
162.142.148.115,118,14
182.5.164.95,23,1
140.132.207.254,247,1
236.67.155.72,119,1
252.44.41.194,118,15
245.253.34.207,119,15
241.221.151.29,124,2
244.104.185.2,115,241
3.176.160.226,143,1
227.186.182.75,123,7
245.239.235.196,119,66
0.141.39.185,56,1
252.208.103.48,120,20
140.128.92.113,54,1
245.253.124.181,55,74
236.166.34.81,114,17
115.52.53.227,122,15
248.54.205.221,245,1
115.41.186.30,122,5
115.43.217.26,122,29
245.252.208.20,117,78
245.6.48.102,117,126
115.33.254.185,122,1
238.76.238.122,22,50
245.252.178.29,118,5
3.182.188.84,117,7
115.51.167.218,122,3
0.187.234.47,118,11
241.110.32.231,119,168
243.217.141.207,57,5
241.245.52.22,59,11
241.217.201.101,118,5
96.231.113.251,23,1
115.54.155.204,121,3
245.253.96.169,119,144
228.87.65.83,115,6
239.185.42.198,56,11
245.252.199.85,118,16
162.141.205.166,118,2
140.157.149.76,122,7
245.38.179.250,244,1
240.169.173.172,120,492
162.157.65.240,117,3
239.83.99.23,23,1
115.48.108.195,122,8
115.52.13.120,122,4
3.196.213.204,122,19
227.65.139.244,119,1
140.140.23.153,119,11
3.176.198.134,120,1
238.87.4.84,118,14
107.237.234.29,119,11
107.233.61.23,118,1
107.233.61.23,119,11
107.233.88.166,118,1
107.233.88.166,119,33
241.245.73.42,123,51
227.3.157.46,55,9
245.239.192.17,245,1
245.100.101.29,54,22
241.253.69.34,52,5
245.252.209.157,117,3
227.212.184.107,121,1
245.252.3.53,118,3
140.132.212.232,120,4
162.135.227.222,118,5
245.239.243.119,119,11
182.232.252.98,23,1
236.33.9.193,117,4
245.38.160.188,244,1
3.32.230.23,111,3
115.12.160.225,115,1
245.252.118.157,60,3
239.178.135.227,120,1
107.213.192.45,119,5
238.175.192.133,117,1
69.24.214.216,117,6
162.135.230.10,56,2
140.123.22.205,119,8
115.49.9.73,122,101
225.23.137.195,114,54
245.68.186.251,56,1
236.204.119.252,117,1
227.29.42.61,251,1
227.72.249.205,118,31
71.0.71.156,116,29
140.141.90.60,119,1
115.32.186.145,122,258
140.129.138.86,118,13
107.211.200.46,119,43
225.33.129.228,117,1342
238.147.117.130,120,1
238.147.117.130,121,3
71.221.132.194,54,1
5.102.154.238,56,12
3.189.182.111,54,91
140.137.180.147,120,6
100.132.121.204,250,1
245.68.186.250,56,3
70.112.181.182,23,1
3.170.240.253,55,8
162.138.228.249,57,17
227.233.102.90,121,5
107.233.88.72,118,1
107.233.88.72,119,7
244.235.195.44,246,19
71.219.52.144,117,20
227.234.81.13,122,25
243.160.23.58,56,13
140.132.214.2,120,19
107.210.227.230,55,1
3.176.198.128,120,7
162.134.55.15,117,1
135.203.131.121,57,24
115.40.131.25,121,2
162.134.174.181,54,169
238.148.237.30,122,8
115.52.65.104,122,2
153.125.205.123,57,7
227.222.149.153,120,6
245.12.204.0,50,52
245.12.204.0,49,8
236.207.63.251,121,9
0.180.194.46,58,4
49.252.69.27,23,1
3.141.41.189,117,2
227.186.182.86,251,2
224.220.37.56,114,102
128.65.138.70,117,1
107.236.54.217,118,1
107.236.54.217,119,14
236.101.0.32,120,7
224.80.41.66,50,1
227.33.146.184,57,5
227.190.208.160,54,1
115.42.85.139,123,8
107.214.91.226,119,36
153.125.227.20,120,21
227.247.80.65,61,1
238.8.183.52,58,1
107.212.141.97,119,7
239.99.153.49,120,6
225.70.187.157,117,1
238.2.103.150,250,1
245.239.231.252,117,12
140.135.93.22,120,12
140.157.29.215,49,4
140.157.29.215,60,2
140.157.29.215,54,2
140.157.29.215,65,1
140.157.29.215,51,2
140.157.29.215,62,4
140.157.29.215,56,2
140.157.29.215,122,12
140.157.29.215,55,2
140.157.29.215,57,2
140.157.29.215,64,3
107.254.53.133,118,1
1.88.116.73,123,35
162.139.215.134,55,2
245.252.22.117,120,3
227.190.10.101,116,1
238.243.117.236,120,7
140.157.39.237,122,106
140.115.94.6,57,1
115.49.131.42,122,12
140.130.210.122,119,2
62.249.9.149,23,1
3.176.198.90,120,1
238.8.191.5,248,1
238.148.245.199,122,1
234.25.91.194,50,2
241.221.185.134,122,2
241.221.185.134,26,1
241.221.185.134,25,1
115.51.199.235,122,3
240.149.223.127,56,135
238.138.220.68,54,6
115.42.96.129,123,17
140.128.13.29,55,4
162.132.33.245,117,1
94.212.186.89,23,1
140.136.240.101,119,1
115.50.194.73,122,14
245.253.61.30,119,9
227.186.182.90,250,1
107.212.133.135,118,1
107.212.133.135,119,19
115.48.16.116,121,12
162.135.17.144,119,5
140.138.200.186,121,3
245.200.115.234,23,1
245.38.191.175,244,1
227.186.161.5,59,1
162.136.244.218,120,52
140.137.237.158,119,9
241.14.48.134,247,3
162.138.111.249,117,1
107.212.138.57,119,7
145.150.253.207,61,3
243.16.29.190,60,5
115.46.72.176,122,4
245.239.207.0,119,7
107.34.129.24,120,27
3.176.198.81,120,1
252.136.30.97,52,25
107.210.106.241,118,46
238.138.1.216,117,2
115.46.138.171,122,1
100.159.230.220,248,1
115.50.70.160,122,4
0.87.232.127,57,4
245.56.84.103,56,3
162.138.14.82,120,13
107.218.120.94,53,1
227.247.80.38,61,1
140.141.78.142,120,6
238.56.46.72,117,1
245.253.75.110,123,49
107.255.208.206,119,14
245.239.226.107,120,18
3.141.212.121,239,3
240.137.223.116,117,67
225.138.57.179,23,1
227.59.63.216,123,18
227.186.134.176,61,6
227.186.134.176,124,45
249.173.227.250,55,2
245.252.213.124,119,5
245.252.200.146,123,3
227.161.52.85,120,5
227.161.52.85,121,6
238.2.103.131,250,1
241.221.162.56,120,1
162.138.157.109,117,1
239.79.248.14,54,1
239.79.248.14,53,8
237.133.92.198,50,9
240.169.103.250,56,1
115.40.93.213,58,8
107.113.223.110,120,1
162.132.93.244,118,2
14.174.79.178,23,1
249.137.217.101,58,30
245.253.163.148,118,31
107.214.110.116,119,9
69.239.29.162,51,1
245.252.17.160,24,5
0.144.143.252,121,11
3.35.91.59,54,5
140.128.176.5,119,17
107.212.70.69,119,30
52.117.34.68,23,1
0.193.125.195,23,1
241.8.222.127,58,45
227.186.182.107,250,1
236.32.105.149,22,13
140.157.245.12,122,101
107.214.59.39,118,36
245.105.174.124,112,6
238.90.98.29,244,3
3.112.171.245,56,1
245.13.88.196,115,29
245.97.61.214,58,10
227.95.63.248,57,25
252.44.89.131,247,2
252.44.89.131,53,2
3.141.245.196,118,7
227.104.104.239,121,29
236.219.72.124,113,3
236.219.72.124,114,12
115.52.116.30,122,3
245.239.247.3,119,1
1.88.51.253,61,18
1.36.90.40,119,4
107.215.248.117,120,20
0.15.91.170,120,1
0.15.91.170,56,21
140.138.53.251,121,2
252.44.235.173,35,3
140.132.99.251,56,3
100.175.97.114,119,7
240.44.197.138,120,14
140.157.171.11,123,1
245.90.247.150,49,5
1.88.66.18,122,6
140.158.22.235,117,9
237.10.153.151,52,29
252.44.108.232,248,3
241.8.231.124,120,1
140.158.27.67,120,20
245.253.185.242,120,16
140.121.102.72,118,13
92.41.245.97,121,16
244.148.214.49,117,5
115.55.83.32,122,10
3.176.198.75,120,1
100.168.207.3,57,6
227.186.153.234,60,2
115.35.250.73,121,431
115.35.250.73,58,2
252.44.44.192,22,5
248.188.233.252,247,1
245.253.74.51,123,668
140.133.37.226,118,1
245.252.135.13,119,3
140.157.82.134,123,3
0.17.17.223,53,13
140.139.129.125,248,1
107.215.207.50,119,1
37.166.194.162,23,1
243.45.4.102,119,396
107.214.219.46,118,23
107.233.61.179,117,1
107.233.61.179,118,2
237.130.20.48,52,1
1.88.117.139,59,20
245.252.12.17,118,9
236.6.30.224,23,1
115.48.61.19,122,4
241.253.168.93,60,1
245.252.128.87,119,300
227.199.158.138,57,1
140.116.31.211,120,2
138.42.251.59,52,1
237.68.107.230,51,123
243.21.78.1,116,1
107.80.172.1,119,7
162.141.56.25,117,5
162.138.171.116,117,54
162.132.183.255,118,1
238.190.233.3,54,1
238.2.113.253,60,38
238.2.113.253,251,4
238.76.133.165,118,1
12.125.167.57,23,1
252.44.145.167,25,6
245.244.37.123,117,4
157.197.148.141,97,6
0.87.204.37,121,3
242.26.81.18,247,1
115.52.225.100,122,1
3.176.169.70,121,489
100.171.115.155,119,8
238.2.102.64,55,3
238.250.60.173,121,5
3.176.207.90,58,6
3.190.238.29,118,37
115.41.170.181,122,6
69.24.233.186,248,1
225.209.130.163,114,9
252.44.115.203,121,2
135.20.98.60,246,2
140.137.54.2,56,1
100.170.229.11,119,12
115.35.225.88,58,2
115.52.0.167,122,5
115.13.186.151,120,12
245.252.6.110,118,106
115.51.173.150,122,3
0.61.214.84,60,90
143.182.140.110,120,31
240.169.255.162,117,8
245.42.212.254,115,54
227.178.31.2,54,2
245.253.33.110,119,48
162.138.90.5,117,7
20.17.152.206,23,1
227.186.85.239,123,8
239.150.244.108,117,1
162.139.191.6,55,4
237.133.94.171,55,1
107.210.7.41,118,9
245.252.214.216,119,31
115.50.255.52,121,27
140.128.228.77,119,3
140.121.15.134,117,3
238.148.232.245,123,22
241.173.43.124,118,2
0.15.191.185,120,37
230.195.234.251,23,1
227.37.187.243,249,2
238.107.109.42,241,1
241.84.140.252,249,1
241.36.230.249,248,1
236.204.118.109,117,7
225.67.125.147,111,28
245.51.23.165,117,1
3.32.132.139,119,3
245.253.76.222,118,49
140.157.33.108,122,23
252.106.216.68,248,1
115.32.139.124,122,5
140.137.160.206,119,2
162.138.132.2,117,7
0.15.237.192,120,21
245.63.191.9,115,1
162.137.156.229,118,11
140.157.254.228,122,233
245.253.117.67,119,3
162.133.231.35,245,1
107.213.188.55,118,12
244.133.164.62,116,6
236.214.202.84,241,1
245.49.78.150,118,8
140.129.172.177,119,7
0.187.231.199,118,5
107.210.249.73,119,4
245.239.230.240,117,710
107.213.165.197,119,51
143.182.151.120,121,4
115.35.85.121,122,12
238.2.103.124,250,3
238.2.103.125,250,3
238.2.103.126,250,3
236.164.204.35,49,5
41.99.124.242,23,1
140.140.227.1,120,7
238.2.103.111,250,3
238.2.103.108,250,3
244.131.114.14,53,1
156.37.175.197,120,3
237.108.171.245,120,3
238.2.103.98,250,3
241.8.102.58,121,1
100.157.29.168,119,1
238.107.109.1,242,1
238.2.103.99,250,2
107.210.173.229,118,1
238.93.39.97,53,4
238.93.39.97,54,2
227.64.190.177,123,21
252.44.245.197,56,1
238.2.103.102,250,3
252.44.191.39,56,8
227.186.182.125,123,1
140.121.9.180,117,77
0.245.15.6,251,2
227.64.190.178,123,9
107.236.12.166,117,1
107.236.12.166,118,6
238.2.103.81,250,3
238.76.200.56,118,17
245.55.81.4,53,1
104.212.127.181,23,1
224.84.130.142,51,14
0.180.43.10,121,37
143.165.25.247,117,19
3.141.166.65,112,3
224.82.178.209,114,60
3.176.91.152,120,13
165.11.209.31,23,1
241.201.121.34,60,39
115.46.138.199,122,1
115.32.226.241,122,6
107.236.127.57,118,2
107.236.127.57,119,25
162.136.182.178,118,4
107.215.243.145,120,6
115.40.19.242,57,30
238.118.186.0,54,17
3.141.98.170,110,11
0.84.31.175,59,63
0.84.31.175,250,1
245.51.184.244,120,8
238.118.171.5,54,1
238.2.103.86,250,2
236.71.103.235,56,30
140.139.227.4,119,1
227.186.182.123,250,1
0.17.34.149,116,8
238.2.103.90,250,3
140.157.31.79,121,9
241.229.142.99,246,1
140.134.193.86,117,7
162.141.146.6,118,3
3.47.253.155,119,1
227.9.219.24,121,18
238.2.103.91,250,3
0.6.8.22,56,6
115.46.138.143,122,1
2.196.45.29,23,1
162.157.10.238,52,4
107.254.1.70,119,154
115.34.179.182,122,69
3.177.216.203,121,16
100.253.155.42,117,2
238.2.103.2,250,2
236.196.70.83,50,36
236.196.70.83,241,1
115.32.135.209,122,2
140.128.101.87,119,10
140.114.160.26,55,4
238.2.103.79,250,3
140.141.49.103,120,11
3.176.161.10,143,1
140.140.15.183,119,3
162.134.221.254,54,4
115.49.7.199,122,9
227.186.182.121,251,2
107.214.95.19,119,6
245.252.61.249,119,70
162.140.223.156,118,1
238.2.87.230,117,95
115.52.123.28,121,5
238.2.103.78,250,3
107.211.58.19,117,50
140.137.125.226,120,4
238.2.103.178,250,2
252.44.157.154,249,3
140.157.33.63,122,1
71.218.118.10,53,1
238.2.103.162,250,2
238.2.103.161,250,2
194.121.73.24,23,1
140.157.153.21,123,21
238.2.103.158,250,2
107.210.242.74,119,23
238.2.103.157,250,2
238.2.103.151,250,2
238.2.103.179,250,2
238.2.103.176,250,2
238.2.103.147,250,2
238.2.103.186,250,2
245.239.205.34,119,2
107.215.253.168,120,180
115.46.191.42,123,4
155.193.104.14,249,1
238.2.103.156,250,2
227.212.120.142,120,25
115.51.166.176,122,3
241.8.140.251,120,333
3.231.215.143,122,2
92.41.245.34,121,21
245.114.82.24,58,22
245.114.82.24,59,14
140.137.144.126,246,2
115.34.211.246,123,5
243.49.9.114,116,85
227.186.187.236,250,1
227.78.206.131,54,6
140.128.88.123,120,4
238.181.170.77,58,3
162.157.90.202,116,10
3.176.198.100,120,4
0.249.242.98,120,5
227.190.127.3,118,2
69.24.125.244,249,3
245.112.0.205,56,80
238.66.205.142,60,4
245.253.15.87,54,18
252.44.246.172,56,1
75.216.81.56,23,1
140.123.23.80,119,6
252.44.108.190,247,3
71.154.68.205,121,3
245.10.209.104,116,38
238.2.103.71,250,3
239.172.29.188,251,3
3.196.214.3,249,1
227.5.189.95,121,55
238.2.103.177,250,2
238.2.103.58,250,3
227.186.182.214,123,1
239.149.72.67,248,4
69.239.193.118,114,1
69.239.193.118,115,16
238.2.103.57,250,3
107.86.108.180,59,2
238.2.103.59,250,3
238.181.126.144,57,1
239.147.211.101,119,8
107.215.73.40,120,147
140.129.170.123,118,10
238.2.103.53,250,3
238.2.103.54,250,3
244.131.70.129,116,1
147.157.215.57,23,1
69.24.109.90,119,10
0.202.52.82,117,32
227.186.187.235,250,1
107.233.89.95,54,1
107.233.89.95,55,7
238.2.103.138,250,2
115.32.141.7,122,192
107.214.143.73,119,8
227.54.215.215,56,1
162.140.36.186,118,65
107.212.89.216,246,9
162.137.141.110,118,6
120.219.248.126,23,1
245.252.225.147,118,12
131.68.14.190,115,15
162.139.180.6,55,1
162.139.180.6,118,9
227.235.155.219,57,101
244.102.156.2,115,1
140.136.193.183,119,1
238.2.103.43,250,3
245.252.28.208,55,10
238.203.128.122,248,2
238.203.128.122,249,1
227.186.187.232,250,1
238.2.103.41,250,3
245.69.43.158,247,3
245.51.116.254,119,2
241.253.7.68,117,9
238.139.191.57,245,1
71.13.86.169,120,1
140.113.239.4,56,7
115.51.165.50,144,3
245.252.139.237,119,86
238.138.80.173,53,5
115.52.30.105,122,5
242.101.125.6,57,22
183.191.69.191,23,1
227.186.155.136,59,1
224.216.178.24,115,217
107.210.210.43,118,5
238.2.103.36,250,3
238.2.103.32,250,3
115.40.167.201,121,4
115.53.191.132,121,14
143.173.63.238,58,23
3.223.163.5,59,11
140.140.157.42,120,10
107.210.150.239,117,5
115.42.41.186,122,1
245.249.200.69,115,3
107.215.153.164,120,1
3.176.209.18,58,52
0.249.82.199,58,14
0.249.82.199,26,2
245.244.53.172,117,7
13.188.126.221,23,1
225.17.17.67,115,1
